[000]    0.00-  16.72 (16.7s) gap 0.0  There is a name printed inside the Ethereum whitepaper that almost nobody can pronounce. That name is Yonatan Sampolinsky. This is the man whose math is cited in the Ethereum whitepaper. The man who looked at Bitcoin, the most secure network ever built, and said it was too slow.
[001]   17.08-  27.69 (10.6s) gap 0.4  then proved it on paper. He turned the blockchain into a block dag where blocks stop fighting and start stacking side by side. He took an idea off of a university chalkboard.
[002]   28.04-  30.25 ( 2.2s) gap 0.4  and launch it into a top crypto network.
[003]   30.67-  31.43 ( 0.8s) gap 0.4  no company.
[004]   31.78-  33.83 ( 2.1s) gap 0.3  No investors, no pre-mine.
[005]   34.17-  36.39 ( 2.2s) gap 0.3  Nothing but code. He's not a CEO.
[006]   36.71-  43.06 ( 6.4s) gap 0.3  He's not an influencer. He's a quiet academic from Israel who rewrote how blockchains agree on reality.
[007]   44.78-  47.35 ( 2.6s) gap 1.7  And while every other founder was selling you a dream.
[008]   47.91-  61.96 (14.1s) gap 0.6  This man was publishing the papers that other founders quote. So half of crypto calls him a generational genius. The other half calls him an overrated academic that the Casper community turned into a messiah. Today we're not picking a side and shouting it.
[009]   62.81-  64.57 ( 1.8s) gap 0.8  We put the receipts on the table.
[010]   64.88-  67.70 ( 2.8s) gap 0.3  His story, Ghost Ethereum Spectre
[011]   68.21-  71.63 ( 3.4s) gap 0.5  the chain that he actually built and the strongest case against him too.
[012]   72.71-  74.67 ( 2.0s) gap 1.1  then you decide. Then at the end.
[013]   75.11-  77.49 ( 2.4s) gap 0.4  I'll tell you exactly where I land.
[014]   77.92-  78.88 ( 1.0s) gap 0.4  and why.
[015]   80.75-  85.61 ( 4.9s) gap 1.9  So where does this guy come from? Before the white papers? Before Casper? Before any of it?
[016]   87.52-  93.89 ( 6.4s) gap 1.9  Yonatan was born and raised in Israel, and the Samplinski name carries a story that most people have no idea about.
[017]   95.72-  97.36 ( 1.6s) gap 1.8  His grandfather, David.
[018]   97.82- 103.46 ( 5.6s) gap 0.5  was a World War II hero who worked with the Danish resistance to smuggle hundreds of Jews
[019]  103.94- 105.74 ( 1.8s) gap 0.5  out of Nazi-occupied Denmark.
[020]  106.21- 106.81 ( 0.6s) gap 0.5  safely.
[021]  107.18- 109.19 ( 2.0s) gap 0.4  into Sweden. His father, Hayem.
[022]  109.73- 112.82 ( 3.1s) gap 0.5  is one of the most respected brain scientists alive.
[023]  113.33- 116.04 ( 2.7s) gap 0.5  a Hebrew University and Harvard professor.
[024]  116.45- 121.17 ( 4.7s) gap 0.4  just won the field's biggest prize. This is not a kid who fell into crypto for the money.
[025]  121.73- 131.11 ( 9.4s) gap 0.6  He comes from a family that did big, serious things. He went to the Hebrew University in Jerusalem to study computer science and math. And here's the part that matters.
[026]  131.59- 135.35 ( 3.8s) gap 0.5  He was not some rich founder who bought his way in later.
[027]  136.56- 142.24 ( 5.7s) gap 1.2  He was still a student in 2013 when he and his advisor Aviv Zohar published Ghost.
[028]  142.99- 146.41 ( 3.4s) gap 0.8  The exact paper now sitting inside Ethereum is white paper.
[029]  147.81- 150.28 ( 2.5s) gap 1.4  He was reshaping how blockchains work.
[030]  150.69- 160.35 ( 9.7s) gap 0.4  before he even finished school. So he's the opposite of every other crypto founder. No Lambo posts, no daily threads, no countdown to the moon. He kept going.
[031]  160.90- 163.56 ( 2.7s) gap 0.5  The PhD finished around 2018.
[032]  164.32- 166.22 ( 1.9s) gap 0.8  then a postdoc in Harvard.
[033]  167.73- 173.88 ( 6.1s) gap 1.5  Then the research lab that became Casper. This is not a marketer who learned to say the word block dag.
[034]  174.95- 191.31 (16.4s) gap 1.1  This is one of the people who did the underlying consensus research that the rest of the space quotes. When the guy who is supposedly overrated is the guy that everyone else is citing. That's a strange kind of overrated, don't you think? Here's the first receipt. In 2013,
[035]  191.93- 206.42 (14.5s) gap 0.6  Some Poliski and Zohar published a paper called the secure high rate transaction processing in Bitcoin. The idea inside it is called ghost. Ghost stands for greediest, heaviest observed subtree. And if you try to say it without being a geek.
