[000]   11.83-  12.73 ( 0.9s) gap11.8  Now stack it up.
[001]   13.23-  17.17 ( 3.9s) gap 0.5  market cap is still under a billion dollars on a network this size
[002]   20.63-  23.63 ( 3.0s) gap 3.5  open interest and leverage our near historic lows.
[003]   28.98-  32.08 ( 3.1s) gap 5.4  So this is not a move propped up by borrowed money.
[004]   32.79-  33.49 ( 0.7s) gap 0.7  It's spot.
[005]   34.44-  36.54 ( 2.1s) gap 0.9  It's real coins changing hands.
[006]   37.93-  38.47 ( 0.5s) gap 1.4  I'm not sure what happened.
[007]   46.47-  51.42 ( 5.0s) gap 8.0  So picture what happens when retail wakes back up and floods back in.
[008]   56.12-  61.28 ( 5.2s) gap 4.7  So picture what happens when retail wakes back up and then floods back in.
[009]   61.86-  62.17 ( 0.3s) gap 0.6  I don't know.
[010]   64.32-  69.22 ( 4.9s) gap 2.2  So picture what happens when retail wakes up and then floods back in.
[011]   69.72-  74.40 ( 4.7s) gap 0.5  and Smart Money has already taken a whole bunch of supply off of the table.
[012]   84.03-  88.63 ( 4.6s) gap 9.6  There's not enough left to fill that demand without the price doing something violent.
[013]   95.51-  96.68 ( 1.2s) gap 6.9  That's the asymmetry.
